室报警功能,包含,监测装置
新接地母线,包含,连接点
各传动轴销,包含,润滑剂
角度排水口,包含,排水孔
构支架两点,包含,主地网
钢管避雷针,包含,排水孔
交流配电室,包含,事故
中间导电杆,包含,位置
支柱绝缘子,包含,杂物
人断路器处,包含,工作
气路连接处,包含,现象
用于断路器,包含,报告
真空断路器,包含,现象
电容器配套,包含,运行
局部小面积,包含,变色
电缆保护管,包含,要求
传感器标志,包含,检查
油色及油位,包含,喷油
内蓄电池组,包含,措施
支柱绝缘子,包含,痕迹
光纤柱绝缘,包含,变形
电缆接头处,包含,缩盒
裂纹或污秽,包含,破损
螺母双螺栓,包含,措施
瓷套或合成,包含,现象
支柱绝缘子,包含,积污
风机或油泵,包含,记录
空心电抗器,包含,异物
储油柜方向,包含,升高
“充气”,包含,油气混合绝缘套管
检测范围,包含,二次回路
示值校验,包含,平稳性
检测范围,包含,照明屏
规则检验,包含,检验
出厂内容,包含,结果
验收内容,包含,结果
标签内容,包含,位置
接线级差,包含,示意图
柜体结构,包含,热应力
角度直径,包含,排水孔
油断路器,包含,爆裂声
以上内阻,包含,出厂值
监测装置,包含,痕迹
电量影响,包含,电池
本体连接,包含,位移
旁路开关,包含,工作
设备底座,包含,痕迹
装有箱子,包含,措施
引线端子,包含,痕迹
现场检查,包含,漏油
元件标志,包含,标志
监控系统,包含,信息
壳体壳体,包含,现象
检测仪器,包含,档位
绝缘强度,包含,腐蚀
每电容器,包含,编号
水冷管路,包含,现象
导电回路,包含,现象
蓄电池架,包含,标志
地箱箱体,包含,铭牌
杆件交汇,包含,连接
手车位置,包含,标志
设备本体,包含,变形
电缆终端,包含,支撑
单相电缆,包含,措施
围栏片或,包含,积污
室排风机,包含,室外
点见证,包含,装配
构支架,包含,接地引下线
控制室,包含,启动
钢帽和,包含,锈蚀
瓷套管,包含,声响
电缆盘,包含,装置
密封件,包含,损伤
站用变,包含,之一
外绝缘,包含,要求
引线、,包含,现象
外绝缘,包含,凸起
传感器,包含,现象
传感器,包含,检查
避雷器,包含,措施
绝缘子,包含,痕迹
绝缘件,包含,措施
均压环,包含,锈蚀
互感器,包含,措施
屏蔽环,包含,破损
互感器,包含,声响
静电感,包含,措施
绝缘子,包含,污秽
电容器,包含,现象
表面mm宽度,包含,色带
内部380V铜排小母线,包含,措施
皮带,包含,防护罩
电缆,包含,排水孔
力矩,包含,防松胶
主机,包含,测偏仪
专人,包含,倒灌
人身,包含,触电
护套,包含,标志
专人,包含,措施
室内,包含,装置
胶垫,包含,渗漏
灯光,包含,信号
弹簧,包含,更换
油漆,包含,现象
两根,包含,连接
温度,包含,告警
检查,包含,痕迹
法兰,包含,现象
油枕,包含,渗油
影响,包含,效果
开关,包含,情况
电源,包含,标志
瓷瓶,包含,现象
导线,包含,现象
瓷柱,包含,电晕
瓷套,包含,电晕
伞裙,包含,电晕
绝缘,包含,外露
母线,包含,措施
瓷套,包含,裂纹
电缆,包含,现象
绝缘,包含,损坏
阀室,包含,渗水
锈蚀,包含,断裂
顶端,包含,裂纹
标志,包含,缺损
开关,包含,烟雾
壳体,包含,现象
设备,包含,变形
绝缘,包含,痕迹
绝缘,包含,现象
瓷柱,包含,污秽
瓷套,包含,污秽
f测量功率,包含,损耗
SF6管路这些部位,包含,检测
